freq,unit,tra_meas,schedule,tra_cov,geo\TIME_PERIOD	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019
A,T,FRM_LD_NLD,TOT,TOTAL,AT	206221	202642	236633	219448	197543	196459	217785	216621	223421	227643	237701	228223
A,T,FRM_LD_NLD,TOT,TOTAL,BE	1071346	836409	953582	984363	963615	957012	1014586	1126234	1088734	1251173	1416428	1397513
A,T,FRM_LD_NLD,TOT,TOTAL,BG	19533	17450	21110	21879	18529	19575	23073	31520	32977	34807	29867	28749
A,T,FRM_LD_NLD,TOT,TOTAL,CH	347979	315695	375176	390335	398715	400028	407704	401925	428495	486164	493202	459877
A,T,FRM_LD_NLD,TOT,TOTAL,CY	42796	38636	37265	29480	27581	28328	28095	27626	28430	30880	32186	32360
A,T,FRM_LD_NLD,TOT,TOTAL,CZ	55906	53924	65620	69206	58707	58147	58312	58445	77704	89279	90526	97248
A,T,FRM_LD_NLD,TOT,TOTAL,DE	3568563	3341222	4099072	4309649	4218208	4231474	4336163	4325665	4467022	4773359	4842716	4684553
A,T,FRM_LD_NLD,TOT,TOTAL,DK	254105	158767	150271	155662	166283	148980	208590	210570	200133	235937	242068	244997
A,T,FRM_LD_NLD,TOT,TOTAL,EE	41744	20526	11886	18341	23760	20862	19432	16034	13868	11233	11475	10866
A,T,FRM_LD_NLD,TOT,TOTAL,EL	112225	97797	88564	81355	72192	67262	60324	62332	69949	69074	96889	105403
A,T,FRM_LD_NLD,TOT,TOTAL,ES	539803	502585	592336	611974	593523	580847	593902	594393	639237	742443	806518	815612
A,T,FRM_LD_NLD,TOT,TOTAL,FI	147822	126900	165254	179216	195631	192512	190586	182089	186471	188722	196810	225242
A,T,FRM_LD_NLD,TOT,TOTAL,FR	1672284	1450562	1525970	1765733	1753085	1741021	2361510	2380931	2401593	2450326	2407878	2313684
A,T,FRM_LD_NLD,TOT,TOTAL,HR	8582	8724	7443	7228	6961	6857	6908	7189	7691	9510	11934	10846
A,T,FRM_LD_NLD,TOT,TOTAL,HU	62544	54138	65305	68860	61902	64166	61970	65783	77535	87277	101411	95590
A,T,FRM_LD_NLD,TOT,TOTAL,IE	126855	112049	122266	113409	126834	127423	138203	148714	145769	163123	156265	144141
A,T,FRM_LD_NLD,TOT,TOTAL,IS	54739	38776	35234	37558	40030	41491	41908	44664	48459	52870	56889	55100
A,T,FRM_LD_NLD,TOT,TOTAL,IT	814995	705883	838724	846551	790493	826981	876495	916755	991688	1077874	1066221	1023952
A,T,FRM_LD_NLD,TOT,TOTAL,LT	9049	6465	9762	10011	14342	15857	13210	14904	14245	15064	16779	17211
A,T,FRM_LD_NLD,TOT,TOTAL,LU	788218	627261	705829	666011	615286	673380	707150	736880	801058	892660	895004	853030
A,T,FRM_LD_NLD,TOT,TOTAL,LV	6884	8646	11268	11571	31460	52473	31439	16809	17922	21204	24628	25866
A,T,FRM_LD_NLD,TOT,TOTAL,ME	0	0	0	0	0	0	0	0	898	869	915	872
A,T,FRM_LD_NLD,TOT,TOTAL,MK	0	0	0	0	0	0	0	2647	2939	2820	3298	3407
A,T,FRM_LD_NLD,TOT,TOTAL,MT	18222	17496	16882	16204	16493	16028	15602	16405	15690	16194	17677	12210
A,T,FRM_LD_NLD,TOT,TOTAL,NL	1648522	1371235	1600381	1614895	1563500	1620038	1727455	1712031	1831792	1865106	1854272	1703662
A,T,FRM_LD_NLD,TOT,TOTAL,NO	3516	51357	49414	65742	78420	106722	116390	127698	127745	169295	174840	187379
A,T,FRM_LD_NLD,TOT,TOTAL,PL	58148	53510	61238	68485	74831	77560	84386	92690	1307600	121303	134673	143482
A,T,FRM_LD_NLD,TOT,TOTAL,PT	136364	125501	137131	121465	117645	126612	134982	133416	136578	164732	173493	194214
A,T,FRM_LD_NLD,TOT,TOTAL,RO	24431	23482	24512	26156	28523	30605	31113	33399	37456	41692	45310	44217
A,T,FRM_LD_NLD,TOT,TOTAL,RS	0	0	0	0	0	0	0	0	0	22350	27375	22659
A,T,FRM_LD_NLD,TOT,TOTAL,SE	205760	161179	186263	164618	141365	130405	141887	146287	147214	159130	158632	47959
A,T,FRM_LD_NLD,TOT,TOTAL,SI	8180	5584	6071	6877	7572	7969	8563	8891	8970	12025	12337	11358
A,T,FRM_LD_NLD,TOT,TOTAL,SK	7432	12231	17835	20542	20893	20588	18498	21216	23028	27188	24565	20525
A,T,FRM_LD_NLD,TOT,TOTAL,UK	2411463	2156206	2429026	2419718	2428375	2369879	2406673	2405225	2511011	2738784	2748539	2650232
